都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額単価
北海道,1480,5481,761,17,122606
青森県,111,1563,154,154,50930
岩手県,297,1044,325,305,46961
宮城県,467,3612,516,485,50113
秋田県,93,1096,101,464,77452
山形県,292,1491,352,1439,48542
福島県,313,517,635,1895,45524
茨城県,127,3173,282,1962,46838
栃木県,314,2957,911,4625,53078
群馬県,307,1847,795,933,42062
埼玉県,73,16106,135,8243,51924
千葉県,416,10332,2433,9680,64030
東京都,791,57372,1831,52819,87942
神奈川県,565,11682,1255,17117,59832
新潟県,386,3847,792,1328,31800
富山県,155,787,154,551,42972
石川県,301,1176,536,1147,63458
山梨県,142,1569,682,2365,57382
長野県,456,1668,1905,2166,67383
岐阜県,162,2785,602,3816,56401
静岡県,489,6042,2018,6547,65295
愛知県,518,22785,608,5853,56272
三重県,260,2457,1022,2856,67021
滋賀県,133,718,369,2464,41068
京都府,328,7593,1553,6916,64198
兵庫県,544,9165,1110,6519,70778
奈良県,49,3531,206,3047,41973
和歌山県,96,929,531,1588,51372
鳥取県,69,439,260,1095,70117
島根県,59,823,276,1818,54509
岡山県,102,714,302,450,45529
広島県,317,2512,387,1032,40013
山口県,112,1995,269,1210,44769
香川県,64,844,301,2817,50563
愛媛県,71,1713,253,597,47980
高知県,49,366,210,331,60071
福岡県,385,15300,596,5980,77564
佐賀県,64,1852,197,2211,46329
長崎県,139,1348,594,1226,46848
熊本県,197,3703,548,2258,69755
大分県,166,1281,637,1349,58895
宮崎県,87,1907,199,1299,52281
鹿児島県,225,2890,518,381,98342
北海道,1677,10703,799,14,111141
青森県,111,2516,333,657,52951
岩手県,202,744,385,391,62266
宮城県,433,4056,584,1315,56449
秋田県,113,1227,211,819,86931
山形県,236,1241,412,3317,62474
福島県,376,2362,625,1199,63620
茨城県,118,3837,212,3287,45515
栃木県,302,2118,1103,6510,59492
群馬県,344,3434,955,2789,42149
埼玉県,95,15073,181,7309,30704
千葉県,431,3963,2271,8152,60601
東京都,792,57487,2063,53498,91393
神奈川県,676,8730,1303,11994,57224
新潟県,413,3990,670,3631,60623
富山県,111,788,249,1160,51775
石川県,238,1658,591,1078,68111
山梨県,126,1272,1015,3987,64385
長野県,373,2364,1565,2177,62649
岐阜県,159,2956,538,5493,62192
愛知県,513,12981,554,5947,36208
三重県,258,3178,919,2498,61736
滋賀県,134,978,509,2412,50337
京都府,431,8253,1465,6147,47625
兵庫県,447,6859,969,11436,65163
奈良県,107,608,306,3540,43185
和歌山県,118,214,567,1306,55758
鳥取県,84,561,302,1157,58094
島根県,62,780,312,1202,47958
岡山県,109,1039,331,1224,56930
広島県,213,2898,499,1068,37067
山口県,112,2156,262,1491,54536
香川県,66,643,262,2564,49782
愛媛県,83,2294,294,830,47236
高知県,75,368,243,523,60259
福岡県,599,17701,562,7381,74060
佐賀県,79,952,195,2620,91102
長崎県,160,1245,573,824,76321
熊本県,219,1844,607,2190,86952
大分県,147,1736,510,1398,58709
宮崎県,119,1798,200,957,51523
鹿児島県,204,2421,519,417,82761
北海道,1894,14922,1318,80,136739
青森県,153,1800,550,882,47735
岩手県,268,1055,509,843,57520
宮城県,527,3981,896,1220,61213
秋田県,176,1473,438,1353,80738
山形県,340,1819,704,2571,58377
福島県,503,735,908,3903,73242
茨城県,158,3575,329,2314,44863
栃木県,355,2426,1602,6918,51673
群馬県,426,2966,1251,3199,43818
埼玉県,117,14515,185,8966,38665
千葉県,551,5311,2058,14064,82845
東京都,875,60059,2044,54188,92349
