都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
北海道,1480,5481,761,17,105060
青森県,111,1563,154,154,11179
岩手県,297,1044,325,305,17996
宮城県,467,3612,516,485,37182
秋田県,93,1096,101,464,13043
山形県,292,1491,352,1439,23610
福島県,313,517,635,1895,31133
茨城県,127,3173,282,1962,27656
栃木県,314,2957,911,4625,90578
群馬県,307,1847,795,933,29003
埼玉県,73,16106,135,8243,125537
千葉県,416,10332,2433,9680,217986
東京都,791,57372,1831,52819,846421
神奈川県,565,11682,1255,17117,229716
新潟県,386,3847,792,1328,28310
富山県,155,787,154,551,10467
石川県,301,1176,536,1147,37334
山梨県,142,1569,682,2365,45924
長野県,456,1668,1905,2166,103677
岐阜県,162,2785,602,3816,39241
静岡県,489,6042,2018,6547,212821
愛知県,518,22785,608,5853,154866
三重県,260,2457,1022,2856,84494
滋賀県,133,718,369,2464,26647
京都府,328,7593,1553,6916,101474
兵庫県,544,9165,1110,6519,110791
奈良県,49,3531,206,3047,22432
和歌山県,96,929,531,1588,27167
鳥取県,69,439,260,1095,27313
島根県,59,823,276,1818,19118
岡山県,102,714,302,450,12537
広島県,317,2512,387,1032,24682
山口県,112,1995,269,1210,21119
香川県,64,844,301,2817,33200
愛媛県,71,1713,253,597,18102
高知県,49,366,210,331,11455
福岡県,385,15300,596,5980,199497
佐賀県,64,1852,197,2211,31465
長崎県,139,1348,594,1226,32952
熊本県,197,3703,548,2258,65891
大分県,166,1281,637,1349,34590
宮崎県,87,1907,199,1299,24101
鹿児島県,225,2890,518,381,49965
北海道,1677,10703,799,14,141879
青森県,111,2516,333,657,22392
岩手県,202,744,385,391,23141
宮城県,433,4056,584,1315,51058
秋田県,113,1227,211,819,28217
山形県,236,1241,412,3317,49222
福島県,376,2362,625,1199,42502
茨城県,118,3837,212,3287,39646
栃木県,302,2118,1103,6510,84538
群馬県,344,3434,955,2789,43057
埼玉県,95,15073,181,7309,70403
千葉県,431,3963,2271,8152,215349
東京都,792,57487,2063,53498,905156
神奈川県,676,8730,1303,11994,142452
新潟県,413,3990,670,3631,78891
富山県,111,788,249,1160,21055
石川県,238,1658,591,1078,40007
山梨県,126,1272,1015,3987,66517
長野県,373,2364,1565,2177,90720
岐阜県,159,2956,538,5493,48983
愛知県,513,12981,554,5947,80220
三重県,258,3178,919,2498,62157
滋賀県,134,978,509,2412,33280
京都府,431,8253,1465,6147,113934
兵庫県,447,6859,969,11436,132546
奈良県,107,608,306,3540,28312
和歌山県,118,214,567,1306,24671
鳥取県,84,561,302,1157,16731
島根県,62,780,312,1202,18395
岡山県,109,1039,331,1224,27528
広島県,213,2898,499,1068,24502
山口県,112,2156,262,1491,27661
香川県,66,643,262,2564,23226
愛媛県,83,2294,294,830,22911
高知県,75,368,243,523,15968
福岡県,599,17701,562,7381,322411
佐賀県,79,952,195,2620,80132
長崎県,160,1245,573,824,40553
熊本県,219,1844,607,2190,69258
大分県,147,1736,510,1398,32929
宮崎県,119,1798,200,957,20950
鹿児島県,204,2421,519,417,41616
北海道,1894,14922,1318,80,211178
青森県,153,1800,550,882,28899
岩手県,268,1055,509,843,30263
宮城県,527,3981,896,1220,65633
秋田県,176,1473,438,1353,46347
山形県,340,1819,704,2571,56289
福島県,503,735,908,3903,89264
茨城県,158,3575,329,2314,30496
栃木県,355,2426,1602,6918,104737
群馬県,426,2966,1251,3199,55435
埼玉県,117,14515,185,8966,81259
千葉県,551,5311,2058,14064,336532
東京都,875,60059,2044,54188,989335
神奈川県,808,12144,1469,8020,178845
新潟県,403,5719,1111,2919,102398
富山県,143,1409,385,1241,26722
石川県,276,2415,618,1545,54753
山梨県,158,2479,1637,5218,115477
長野県,515,2157,2848,4361,208033
岐阜県,226,1933,1011,5452,58097
愛知県,666,12026,645,7098,114106
三重県,277,2231,1005,3224,59712
滋賀県,124,1036,598,3349,38971
京都府,427,4310,1589,4718,71582
兵庫県,613,9277,1239,10225,220696
奈良県,89,657,295,2879,24698
和歌山県,225,780,706,614,37963
鳥取県,66,474,357,916,18171
島根県,94,864,349,1417,16395
岡山県,223,1190,467,1073,31771
広島県,262,2956,478,1048,19520
山口県,122,2026,325,1707,29921
香川県,123,1388,487,2138,32559
愛媛県,121,2439,329,903,25319
高知県,83,479,337,348,17400
福岡県,375,17518,501,5113,221591
佐賀県,84,998,221,2922,61331
長崎県,274,1144,552,800,50055
熊本県,330,2995,682,1100,69682
大分県,120,1740,685,2059,35988
宮崎県,127,1396,288,938,21329
鹿児島県,373,1797,625,678,44699
北海道,1749,4547,728,14,107830
青森県,139,1611,329,750,21896
岩手県,276,497,402,380,22175
宮城県,465,2830,579,667,42834
秋田県,104,1047,224,1040,35659
山形県,344,989,432,1639,29626
福島県,448,279,754,1771,38604
茨城県,147,3682,281,4341,43660
栃木県,427,2292,1365,6034,105360
群馬県,409,2208,1092,2719,57777
埼玉県,117,13502,200,6791,71630
千葉県,471,6928,2351,9313,314555
東京都,832,58459,2004,49725,845371
神奈川県,544,9972,1486,6059,139126
新潟県,418,3823,681,2004,60490
富山県,148,1168,249,1298,26082
石川県,349,1096,754,1170,57588
長野県,456,2086,1733,3705,129112
岐阜県,167,3207,651,4825,54714
