都道府県,目的,地点数,客数
北海道,自然,99,1193
北海道,歴史・文化,152,3344
北海道,温泉・健康,139,3510
北海道,スポーツ・レク,261,4452
北海道,都市型観光,71,4055
北海道,イベント,38,7138
青森県,自然,47,116
青森県,歴史・文化,59,470
青森県,温泉・健康,44,753
青森県,スポーツ・レク,72,672
青森県,都市型観光,52,2110
青森県,イベント,8,722
岩手県,自然,33,604
岩手県,歴史・文化,57,575
岩手県,温泉・健康,74,1294
岩手県,スポーツ・レク,54,880
岩手県,都市型観光,21,471
岩手県,イベント,12,799
宮城県,自然,31,586
宮城県,歴史・文化,79,3128
宮城県,温泉・健康,35,1176
宮城県,スポーツ・レク,57,846
宮城県,都市型観光,44,1372
宮城県,イベント,17,630
秋田県,自然,30,123
秋田県,歴史・文化,48,236
秋田県,温泉・健康,67,1062
秋田県,スポーツ・レク,67,728
秋田県,都市型観光,20,153
秋田県,イベント,17,938
山形県,自然,35,236
山形県,歴史・文化,72,1165
山形県,温泉・健康,45,2027
山形県,スポーツ・レク,62,871
山形県,都市型観光,22,481
山形県,イベント,16,882
福島県,自然,49,310
福島県,歴史・文化,78,1536
福島県,温泉・健康,49,1467
福島県,スポーツ・レク,76,2257
福島県,都市型観光,17,682
福島県,イベント,13,653
茨城県,自然,15,1186
茨城県,歴史・文化,51,2357
茨城県,温泉・健康,13,388
茨城県,スポーツ・レク,52,1667
茨城県,都市型観光,11,1693
茨城県,イベント,20,2434
栃木県,自然,38,1096
栃木県,歴史・文化,85,3593
栃木県,温泉・健康,28,1279
栃木県,スポーツ・レク,122,2342
栃木県,都市型観光,14,2537
栃木県,イベント,14,467
群馬県,自然,46,740
群馬県,歴史・文化,78,2209
群馬県,温泉・健康,71,3476
群馬県,スポーツ・レク,94,2732
群馬県,都市型観光,25,1011
群馬県,イベント,26,831
埼玉県,自然,41,791
埼玉県,歴史・文化,142,5214
埼玉県,温泉・健康,30,1220
埼玉県,スポーツ・レク,160,2163
埼玉県,都市型観光,41,14146
埼玉県,イベント,73,6617
千葉県,自然,34,1244
千葉県,歴史・文化,139,10251
千葉県,温泉・健康,25,1155
千葉県,スポーツ・レク,296,13675
千葉県,都市型観光,24,4680
千葉県,イベント,51,4359
東京都,自然,6,400
東京都,歴史・文化,326,13491
東京都,温泉・健康,35,7342
東京都,スポーツ・レク,167,30399
東京都,都市型観光,86,183872
東京都,イベント,98,10540
神奈川県,自然,62,5034
神奈川県,歴史・文化,111,20707
神奈川県,温泉・健康,8,191
神奈川県,スポーツ・レク,81,6122
神奈川県,都市型観光,7,895
神奈川県,イベント,44,2835
新潟県,自然,76,427
新潟県,歴史・文化,155,1763
新潟県,温泉・健康,106,2341
新潟県,スポーツ・レク,252,4763
新潟県,都市型観光,62,2126
新潟県,イベント,59,2021
富山県,自然,24,222
富山県,歴史・文化,71,797
富山県,温泉・健康,19,623
富山県,スポーツ・レク,48,780
富山県,都市型観光,5,229
富山県,イベント,17,457
石川県,自然,21,222
石川県,歴史・文化,76,2534
石川県,温泉・健康,26,1477
石川県,スポーツ・レク,69,903
石川県,都市型観光,13,3415
石川県,イベント,11,424
山梨県,自然,17,453
山梨県,歴史・文化,92,1691
山梨県,温泉・健康,59,1216
山梨県,スポーツ・レク,89,1384
山梨県,都市型観光,31,584
山梨県,イベント,8,292
長野県,自然,64,1253
長野県,歴史・文化,76,2603
長野県,温泉・健康,87,3290
長野県,スポーツ・レク,99,4943
長野県,都市型観光,15,1487
長野県,イベント,14,1142
岐阜県,自然,37,307
岐阜県,歴史・文化,93,4496
岐阜県,温泉・健康,55,2680
岐阜県,スポーツ・レク,151,3377
岐阜県,都市型観光,23,2010
岐阜県,イベント,23,548
静岡県,自然,46,2483
静岡県,歴史・文化,187,7145
静岡県,温泉・健康,46,1078
静岡県,スポーツ・レク,273,4237
静岡県,都市型観光,38,4485
静岡県,イベント,74,4626
愛知県,自然,37,1139
愛知県,歴史・文化,143,18112
愛知県,温泉・健康,21,874
愛知県,スポーツ・レク,139,5416
愛知県,都市型観光,44,6951
愛知県,イベント,30,2120
三重県,自然,36,281
三重県,歴史・文化,69,8752
三重県,温泉・健康,29,1639
三重県,スポーツ・レク,134,5621
三重県,都市型観光,22,827
三重県,イベント,8,310
滋賀県,自然,24,160
滋賀県,歴史・文化,114,3711
滋賀県,温泉・健康,22,408
滋賀県,スポーツ・レク,109,1884
滋賀県,都市型観光,29,821
滋賀県,イベント,13,511
京都府,自然,18,138
京都府,歴史・文化,83,16424
京都府,温泉・健康,18,510
京都府,スポーツ・レク,73,1073
京都府,都市型観光,7,200
京都府,イベント,5,74
兵庫県,自然,87,666
兵庫県,歴史・文化,288,11803
兵庫県,温泉・健康,74,2122
兵庫県,スポーツ・レク,358,6473
兵庫県,都市型観光,43,3051
兵庫県,イベント,53,5233
奈良県,自然,25,378
奈良県,歴史・文化,92,7787
奈良県,温泉・健康,24,348
奈良県,スポーツ・レク,19,92
奈良県,都市型観光,5,121
奈良県,イベント,10,1359
和歌山県,自然,10,156
和歌山県,歴史・文化,38,4176
和歌山県,温泉・健康,16,329
和歌山県,スポーツ・レク,13,983
和歌山県,都市型観光,2,68
和歌山県,イベント,9,191
鳥取県,自然,11,247
鳥取県,歴史・文化,39,465
鳥取県,温泉・健康,19,542
鳥取県,スポーツ・レク,35,380
鳥取県,都市型観光,16,1154
鳥取県,イベント,5,153
島根県,自然,17,376
島根県,歴史・文化,69,3880
島根県,温泉・健康,24,646
島根県,スポーツ・レク,36,501
島根県,都市型観光,14,463
島根県,イベント,3,256
岡山県,自然,20,83
岡山県,歴史・文化,109,1091
岡山県,温泉・健康,33,669
岡山県,スポーツ・レク,79,1213
岡山県,都市型観光,37,772
岡山県,イベント,14,363
広島県,自然,7,256
広島県,歴史・文化,46,2867
広島県,温泉・健康,21,585
広島県,スポーツ・レク,36,1739
広島県,都市型観光,10,841
広島県,イベント,20,1681
山口県,自然,28,634
山口県,歴史・文化,71,1805
山口県,温泉・健康,31,970
山口県,スポーツ・レク,58,1048
山口県,都市型観光,4,548
山口県,イベント,15,810
徳島県,自然,20,213
徳島県,歴史・文化,50,1749
徳島県,温泉・健康,24,338
徳島県,スポーツ・レク,47,541
徳島県,都市型観光,30,943
徳島県,イベント,13,476
香川県,自然,9,232
香川県,歴史・文化,60,2912
香川県,温泉・健康,18,503
香川県,スポーツ・レク,51,1157
香川県,都市型観光,11,724
香川県,イベント,5,222
愛媛県,自然,44,289
愛媛県,歴史・文化,64,1239
愛媛県,温泉・健康,26,836
愛媛県,スポーツ・レク,37,553
愛媛県,都市型観光,29,245
愛媛県,イベント,6,59
高知県,自然,19,267
高知県,歴史・文化,29,477
高知県,温泉・健康,14,170
高知県,スポーツ・レク,25,246
高知県,都市型観光,23,1335
高知県,イベント,5,72
福岡県,自然,36,504
福岡県,歴史・文化,130,10234
福岡県,温泉・健康,35,1123
福岡県,スポーツ・レク,83,1817
福岡県,都市型観光,66,22721
福岡県,イベント,32,2882
佐賀県,自然,10,76
佐賀県,歴史・文化,31,2509
佐賀県,温泉・健康,17,602
佐賀県,スポーツ・レク,33,362
佐賀県,都市型観光,30,2558
佐賀県,イベント,14,501
長崎県,自然,13,180
長崎県,歴史・文化,50,1569
長崎県,温泉・健康,16,494
長崎県,スポーツ・レク,65,1506
長崎県,都市型観光,9,3048
長崎県,イベント,19,1594
熊本県,自然,25,425
熊本県,歴史・文化,88,2663
熊本県,温泉・健康,42,2314
熊本県,スポーツ・レク,102,1054
熊本県,都市型観光,54,2431
熊本県,イベント,23,1183
大分県,自然,47,369
大分県,歴史・文化,104,2477
大分県,温泉・健康,46,2238
大分県,スポーツ・レク,82,1422
大分県,都市型観光,11,159
大分県,イベント,20,2449
宮崎県,自然,18,497
宮崎県,歴史・文化,59,2891
宮崎県,温泉・健康,26,776
宮崎県,スポーツ・レク,86,1236
宮崎県,都市型観光,10,286
宮崎県,イベント,15,828
鹿児島県,自然,38,399
鹿児島県,歴史・文化,66,2780
鹿児島県,温泉・健康,48,784
鹿児島県,スポーツ・レク,99,1962
鹿児島県,都市型観光,41,1061
鹿児島県,イベント,25,1752
沖縄県,自然,29,1321
沖縄県,歴史・文化,31,2963
沖縄県,温泉・健康,3,78
沖縄県,スポーツ・レク,21,1799
沖縄県,都市型観光,5,807
沖縄県,イベント,15,1131
北海道,自然,92,3579
北海道,歴史・文化,138,6667
北海道,温泉・健康,120,3506
北海道,スポーツ・レク,222,4493
北海道,都市型観光,69,5730
北海道,イベント,54,5152
青森県,自然,47,864
青森県,歴史・文化,59,2054
青森県,温泉・健康,44,771
青森県,スポーツ・レク,72,1160
青森県,都市型観光,52,3497
青森県,イベント,29,3995
岩手県,自然,33,1226
岩手県,歴史・文化,57,895
岩手県,温泉・健康,74,1374
岩手県,スポーツ・レク,54,638
岩手県,都市型観光,23,876
岩手県,イベント,30,1593
宮城県,自然,31,1074
宮城県,歴史・文化,79,2226
宮城県,温泉・健康,36,1215
宮城県,スポーツ・レク,57,2044
宮城県,都市型観光,44,1759
宮城県,イベント,29,2729
秋田県,自然,30,1111
秋田県,歴史・文化,48,953
秋田県,温泉・健康,67,1192
秋田県,スポーツ・レク,67,990
秋田県,都市型観光,20,341
