都道府県,目的,1_地点数,2_地点数,3_地点数,4_地点数,1_客数,2_客数,3_客数,4_客数
01 北海道,自然,109,108,108,110,1727,3648,6560,2694
01 北海道,歴史・文化,147,148,147,149,4223,6428,9805,3839
01 北海道,温泉・健康,140,142,142,145,3713,3849,5017,3408
01 北海道,スポーツ・レク,257,260,259,263,5049,4598,6646,2948
01 北海道,都市型観光,76,77,79,77,4191,6351,7244,5126
01 北海道,その他,109,108,107,112,4320,6683,9098,4438
01 北海道,イベント,42,56,175,35,7715,5660,11296,457
02 青森県,自然,39,42,42,42,144,893,1721,662
02 青森県,歴史・文化,55,58,61,61,564,1870,1851,1062
02 青森県,温泉・健康,43,45,46,46,725,783,887,803
02 青森県,スポーツ・レク,67,70,71,71,631,1168,1666,628
02 青森県,都市型観光,46,51,52,52,2243,3542,4605,3468
02 青森県,その他,24,26,26,26,708,1292,1550,1121
02 青森県,イベント,11,29,71,22,877,3792,9488,740
03 岩手県,自然,37,37,37,37,454,1204,1541,866
03 岩手県,歴史・文化,62,62,62,62,664,918,1018,669
03 岩手県,温泉・健康,76,76,76,76,1336,1329,1408,1457
03 岩手県,スポーツ・レク,55,55,55,55,750,593,706,438
03 岩手県,都市型観光,27,27,27,27,539,838,950,729
03 岩手県,その他,23,23,23,23,457,874,999,579
03 岩手県,イベント,12,31,59,35,658,1499,2944,1039
04 宮城県,自然,36,36,36,36,530,996,1350,1090
04 宮城県,歴史・文化,80,80,80,80,3421,2754,2533,2056
04 宮城県,温泉・健康,36,36,36,36,1390,1391,1423,1664
04 宮城県,スポーツ・レク,65,65,65,65,907,1899,1919,1386
04 宮城県,都市型観光,53,53,53,53,1679,2090,2142,1934
04 宮城県,その他,31,31,31,31,1608,2065,2239,2099
04 宮城県,イベント,20,37,61,43,775,2861,5790,4501
05 秋田県,自然,30,30,30,30,147,926,1387,914
05 秋田県,歴史・文化,52,52,52,52,275,954,961,609
05 秋田県,温泉・健康,63,63,63,63,1068,1170,1295,1170
05 秋田県,スポーツ・レク,68,68,68,68,622,951,1427,594
05 秋田県,都市型観光,20,20,20,20,238,386,492,381
05 秋田県,その他,30,30,30,30,815,1528,1794,1321
05 秋田県,イベント,18,38,63,25,900,2543,5300,1427
06 山形県,自然,38,39,39,39,258,1177,1198,572
06 山形県,歴史・文化,74,76,76,76,1332,2487,2668,1849
06 山形県,温泉・健康,47,47,47,47,2117,1966,2444,2219
06 山形県,スポーツ・レク,64,69,69,69,996,1762,1734,703
06 山形県,都市型観光,28,31,31,31,640,1076,1327,954
06 山形県,その他,31,34,34,34,1350,2974,3435,2578
06 山形県,イベント,15,31,45,16,978,2977,4310,742
07 福島県,自然,46,46,46,46,413,1723,1821,2220
07 福島県,歴史・文化,77,77,77,77,1635,3572,2587,2131
07 福島県,温泉・健康,46,46,46,46,1549,1467,1576,1574
07 福島県,スポーツ・レク,60,60,60,60,2189,2271,3021,1713
07 福島県,都市型観光,14,14,14,14,703,910,1163,922
07 福島県,その他,24,24,24,24,2557,2580,2319,2319
07 福島県,イベント,11,50,22,22,533,3765,929,929
08 茨城県,自然,16,16,16,16,1350,1981,1508,2502
08 茨城県,歴史・文化,50,50,50,50,2784,2990,2031,2825
08 茨城県,温泉・健康,17,17,17,17,492,448,483,489
08 茨城県,スポーツ・レク,59,59,59,59,2109,2869,3026,2560
08 茨城県,都市型観光,12,12,12,12,1855,2167,2008,2121
08 茨城県,その他,22,22,22,22,1705,2162,2497,2359
08 茨城県,イベント,29,35,63,58,3416,2186,5744,3143
09 栃木県,自然,35,35,35,35,1324,1993,1853,2396
09 栃木県,歴史・文化,88,88,91,91,4170,4695,4100,4958
09 栃木県,温泉・健康,26,26,28,28,1062,1137,1308,1239
09 栃木県,スポーツ・レク,119,119,117,117,1881,2826,3370,2922
09 栃木県,都市型観光,18,18,20,20,1805,1851,2692,2817
09 栃木県,その他,29,29,35,35,3465,4102,4783,4957
09 栃木県,イベント,14,27,41,38,661,1760,2913,2028
10 群馬県,自然,55,56,55,55,796,2066,2702,2037
10 群馬県,歴史・文化,97,96,96,96,2301,2778,2329,2287
10 群馬県,温泉・健康,81,80,81,81,3476,3037,3633,3453
10 群馬県,スポーツ・レク,120,120,119,119,2766,3405,2391,2608
10 群馬県,都市型観光,27,25,27,27,1019,1240,1278,1237
10 群馬県,その他,21,21,21,21,967,1584,1792,1677
10 群馬県,イベント,31,38,66,53,906,1559,5260,2524
11 埼玉県,自然,47,47,47,47,1257,3658,2752,2116
11 埼玉県,歴史・文化,124,124,124,124,5554,5077,3819,5409
11 埼玉県,温泉・健康,30,30,30,30,1405,1295,1386,1349
11 埼玉県,スポーツ・レク,180,180,180,180,3048,4275,5023,3931
11 埼玉県,都市型観光,55,55,55,55,16374,16386,17279,16690
11 埼玉県,その他,24,24,24,24,1293,1549,1305,1424
11 埼玉県,イベント,80,130,129,206,5854,6242,11278,11056
12 千葉県,自然,33,33,33,33,1326,871,473,262
12 千葉県,歴史・文化,136,136,136,136,10664,5629,4907,5343
12 千葉県,温泉・健康,26,26,26,26,1178,1084,1256,1041
12 千葉県,スポーツ・レク,298,298,298,298,14971,16090,19033,17406
12 千葉県,都市型観光,24,24,24,24,5794,5876,5875,5876
12 千葉県,その他,32,32,32,32,6197,6254,6429,5972
12 千葉県,イベント,57,67,90,83,4886,5370,11521,5948
13 東京都,自然,9,9,9,9,554,710,812,1211
13 東京都,歴史・文化,301,301,301,301,16554,20485,19907,17174
13 東京都,温泉・健康,36,36,36,36,9132,5705,6782,7185
13 東京都,スポーツ・レク,176,176,176,176,39396,47703,36139,36039
13 東京都,都市型観光,93,93,93,93,206661,210022,204235,203444
13 東京都,その他,25,25,25,25,3943,10311,4903,3920
13 東京都,イベント,88,94,131,130,8157,12197,18708,18784
14 神奈川県,自然,41,41,41,41,4850,6733,8741,7085
14 神奈川県,歴史・文化,137,137,137,137,22544,11449,9126,8548
14 神奈川県,温泉・健康,10,10,10,10,243,260,329,223
14 神奈川県,スポーツ・レク,100,100,100,100,7582,10802,10847,9362
14 神奈川県,都市型観光,6,6,6,6,805,796,866,814
14 神奈川県,その他,40,40,40,40,5477,7125,8393,10331
14 神奈川県,イベント,44,74,76,67,3921,9274,11227,3947
15 新潟県,自然,71,71,71,71,429,1219,1461,1291
15 新潟県,歴史・文化,165,165,165,165,1858,2694,3006,2455
15 新潟県,温泉・健康,112,112,112,112,2363,2079,2473,2293
15 新潟県,スポーツ・レク,241,241,241,241,4732,2102,4498,2128
15 新潟県,都市型観光,62,62,62,62,2481,4378,5054,4625
15 新潟県,その他,31,31,31,31,645,1020,1204,916
15 新潟県,イベント,70,109,139,87,2490,4699,7494,2069
16 富山県,自然,35,35,35,35,277,986,1168,570
16 富山県,歴史・文化,89,90,90,90,1008,1696,1798,1629
16 富山県,温泉・健康,21,21,21,21,524,576,628,597
16 富山県,スポーツ・レク,48,49,49,49,780,1872,2106,1264
16 富山県,都市型観光,6,6,6,6,1331,1285,1272,1300
16 富山県,その他,23,23,23,23,1040,1522,1514,1409
16 富山県,イベント,22,41,51,25,531,1979,1844,760
18 福井県,自然,26,26,26,26,555,1330,1427,1353
18 福井県,歴史・文化,84,84,84,84,1599,2612,2824,2154
18 福井県,温泉・健康,23,23,23,23,622,594,1059,628
18 福井県,スポーツ・レク,58,58,58,58,792,1376,1645,835
18 福井県,都市型観光,17,17,17,17,402,539,571,672
18 福井県,その他,12,12,12,12,757,1150,1294,1123
18 福井県,イベント,7,18,22,15,201,1102,1350,479
19 山梨県,自然,20,20,20,20,1001,2865,3093,1699
19 山梨県,歴史・文化,86,86,86,86,2059,2169,3135,2055
19 山梨県,温泉・健康,60,60,60,60,1242,1358,1673,1306
19 山梨県,スポーツ・レク,87,87,87,87,1660,2706,3122,2410
19 山梨県,都市型観光,31,31,31,31,686,1133,1430,1077
19 山梨県,その他,20,20,20,20,857,1645,2100,1448
19 山梨県,イベント,11,29,31,24,363,905,1613,837
