都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
01 北海道,自然,1742,3820,6683,3130,111
01 北海道,歴史・文化,4031,7608,9653,5763,148
01 北海道,温泉・健康,3798,3585,5031,3469,146
01 北海道,スポーツ・レク,5397,4934,7357,3962,266
01 北海道,都市型観光,4142,6516,7981,5346,79
01 北海道,その他,4398,7311,10983,5127,113
01 北海道,イベント,7517,5336,14156,2838,83
02 青森県,自然,153,886,1465,633,36
02 青森県,歴史・文化,526,1974,1850,983,55
02 青森県,温泉・健康,743,782,871,769,43
02 青森県,スポーツ・レク,611,1272,1461,627,69
02 青森県,都市型観光,2257,3583,4491,3295,51
02 青森県,その他,667,1332,1639,1131,27
02 青森県,イベント,872,4053,9923,876,33
03 岩手県,自然,476,1264,1518,868,38
03 岩手県,歴史・文化,637,937,1052,697,65
03 岩手県,温泉・健康,1333,1300,1426,1353,73
03 岩手県,スポーツ・レク,741,599,656,446,53
03 岩手県,都市型観光,480,798,952,677,27
03 岩手県,その他,430,890,1109,656,25
03 岩手県,イベント,719,1527,2997,1046,35
04 宮城県,自然,530,995,1349,1089,36
04 宮城県,歴史・文化,3421,2753,2532,2055,80
04 宮城県,温泉・健康,1390,1391,1423,1663,36
04 宮城県,スポーツ・レク,922,1899,1919,1385,65
04 宮城県,都市型観光,1679,2089,2142,1933,53
04 宮城県,その他,1608,2065,2238,2099,31
04 宮城県,イベント,775,2860,5789,4500,40
05 秋田県,自然,135,945,1314,900,28
05 秋田県,歴史・文化,293,944,935,584,52
05 秋田県,温泉・健康,964,1065,1192,1065,61
05 秋田県,スポーツ・レク,658,1098,1480,732,68
05 秋田県,都市型観光,212,396,459,339,20
05 秋田県,その他,1074,1975,2377,1711,33
05 秋田県,イベント,839,2915,5304,1368,36
06 山形県,自然,307,1199,1180,533,38
06 山形県,歴史・文化,1333,2454,2645,1801,76
06 山形県,温泉・健康,1998,1984,2491,2117,49
06 山形県,スポーツ・レク,1071,1334,1519,664,68
06 山形県,都市型観光,716,1043,1130,955,29
06 山形県,その他,1442,3087,3444,2420,34
06 山形県,イベント,1016,948,1250,648,14
07 福島県,自然,389,2177,1841,1866,45
07 福島県,歴史・文化,1559,3278,2646,2050,80
07 福島県,温泉・健康,1501,1517,1645,1547,48
07 福島県,スポーツ・レク,2307,2409,3443,1863,69
07 福島県,都市型観光,740,986,1229,965,15
07 福島県,その他,1873,3502,3815,2999,31
07 福島県,イベント,735,652,3779,869,28
08 茨城県,自然,1162,2368,1543,2220,15
08 茨城県,歴史・文化,2544,3020,2023,2821,52
08 茨城県,温泉・健康,527,479,499,477,17
08 茨城県,スポーツ・レク,2160,2858,3079,2561,58
08 茨城県,都市型観光,1875,2191,2024,2085,12
08 茨城県,その他,1962,2293,2370,2262,21
08 茨城県,イベント,3614,1995,5758,2506,47
09 栃木県,自然,1265,2098,2036,1954,39
09 栃木県,歴史・文化,4515,5770,4793,5631,103
09 栃木県,温泉・健康,1308,1352,2006,1874,32
09 栃木県,スポーツ・レク,2770,3773,4825,3199,138
09 栃木県,都市型観光,2856,3186,3022,2834,20
09 栃木県,その他,4098,5056,4087,3881,37
09 栃木県,イベント,702,1797,2130,1377,30
10 群馬県,自然,819,1969,2574,1847,53
10 群馬県,歴史・文化,2178,2648,2353,2229,94
10 群馬県,温泉・健康,3584,3155,3787,3425,77
10 群馬県,スポーツ・レク,2991,3427,2562,2470,113
10 群馬県,都市型観光,1121,1344,1495,1381,29
10 群馬県,その他,994,1651,1877,1783,24
10 群馬県,イベント,1213,1594,5185,2283,54
11 埼玉県,自然,1626,4158,2842,2150,49
11 埼玉県,歴史・文化,5324,5138,3973,4793,125
11 埼玉県,温泉・健康,1381,1237,1337,1282,30
11 埼玉県,スポーツ・レク,3246,4675,5685,4031,180
11 埼玉県,都市型観光,16195,16544,17588,16893,51
11 埼玉県,その他,1475,1796,1628,1667,25
11 埼玉県,イベント,7282,6096,10541,9413,133
12 千葉県,自然,1381,882,564,295,32
12 千葉県,歴史・文化,10866,5844,5153,5194,138
12 千葉県,温泉・健康,1168,1070,1284,1056,26
12 千葉県,スポーツ・レク,15538,16650,18863,16921,290
12 千葉県,都市型観光,5867,6063,6041,5602,28
12 千葉県,その他,6340,6625,6739,6327,34
12 千葉県,イベント,4844,5555,11533,5059,76
13 東京都,自然,572,759,879,1205,9
13 東京都,歴史・文化,17800,22285,29531,18544,303
13 東京都,温泉・健康,9571,6178,6128,7502,35
13 東京都,スポーツ・レク,37983,38347,36518,35564,174
13 東京都,都市型観光,205236,210112,202502,207592,93
13 東京都,その他,4386,11456,6967,4093,28
13 東京都,イベント,9025,14225,16695,17598,113
14 神奈川県,自然,5650,5739,9184,6218,40
14 神奈川県,歴史・文化,21629,12099,8370,8235,137
14 神奈川県,温泉・健康,318,332,405,339,11
14 神奈川県,スポーツ・レク,9713,12487,12144,9864,102
14 神奈川県,都市型観光,956,984,1048,982,8
14 神奈川県,その他,5994,8207,8566,9787,43
14 神奈川県,イベント,8955,9395,12558,2718,66
15 新潟県,自然,337,1217,1440,1179,68
15 新潟県,歴史・文化,1786,2505,2699,2231,161
15 新潟県,温泉・健康,2360,2119,2422,2214,110
15 新潟県,スポーツ・レク,4768,2194,3947,2035,239
15 新潟県,都市型観光,2489,4555,4931,4323,58
15 新潟県,その他,667,1108,1287,935,33
15 新潟県,イベント,2400,4713,7591,2012,99
16 富山県,自然,246,980,1125,531,26
16 富山県,歴史・文化,968,1626,1724,1507,76
16 富山県,温泉・健康,406,412,473,473,20
16 富山県,スポーツ・レク,907,2225,2401,1477,43
16 富山県,都市型観光,1471,1494,1513,1498,8
16 富山県,その他,746,1182,1233,1038,18
16 富山県,イベント,517,1878,1885,739,32
18 福井県,自然,523,1341,1367,1258,26
18 福井県,歴史・文化,1592,2627,2866,2139,91
18 福井県,温泉・健康,583,554,922,572,23
18 福井県,スポーツ・レク,896,1362,1762,980,62
18 福井県,都市型観光,418,542,546,646,18
18 福井県,その他,685,1011,1097,905,13
18 福井県,イベント,197,1225,1274,344,13
19 山梨県,自然,875,2501,3115,1814,19
19 山梨県,歴史・文化,2108,2360,3429,2172,89
19 山梨県,温泉・健康,1267,1328,1697,1270,61
19 山梨県,スポーツ・レク,1726,2842,3272,2135,87
19 山梨県,都市型観光,672,1072,1434,979,31
19 山梨県,その他,863,1638,2364,1550,22
19 山梨県,イベント,349,902,1346,707,22
20 長野県,自然,1733,2122,4902,1386,62
20 長野県,歴史・文化,2747,5020,4883,3846,78
20 長野県,温泉・健康,2997,3100,4000,3354,79
20 長野県,スポーツ・レク,4427,1770,2457,1791,94
20 長野県,都市型観光,2093,2938,4218,2729,17
20 長野県,その他,861,1450,1832,1376,27
20 長野県,イベント,1278,2099,2904,1448,28
21 岐阜県,自然,333,915,1152,632,41
21 岐阜県,歴史・文化,4777,4610,3947,4275,96
21 岐阜県,温泉・健康,2451,2147,2451,2261,55
21 岐阜県,スポーツ・レク,3258,3633,3404,2966,157
21 岐阜県,都市型観光,2457,3019,3137,2779,29
21 岐阜県,その他,2770,4497,5296,3873,55
21 岐阜県,イベント,566,3028,3450,2900,53
23 愛知県,自然,605,1185,1428,1098,30
23 愛知県,歴史・文化,15576,8927,8551,7860,142
23 愛知県,温泉・健康,776,700,789,774,21
23 愛知県,スポーツ・レク,5558,8290,7899,5810,133
23 愛知県,都市型観光,4356,4491,4720,4365,35
23 愛知県,その他,5139,5699,6067,5219,18
23 愛知県,イベント,2250,7300,11533,3830,53
24 三重県,自然,310,738,854,460,34
24 三重県,歴史・文化,7437,4200,3793,3804,72
24 三重県,温泉・健康,1575,1480,1706,1582,27
24 三重県,スポーツ・レク,7929,8945,10756,9046,128
24 三重県,都市型観光,918,1053,924,1039,23
24 三重県,その他,1670,1700,1787,1622,28
24 三重県,イベント,327,613,2402,1176,22
25 滋賀県,自然,79,365,336,187,20
25 滋賀県,歴史・文化,3542,2892,2505,2833,110
25 滋賀県,温泉・健康,358,365,393,353,21
25 滋賀県,スポーツ・レク,1769,3142,3318,2476,118
25 滋賀県,都市型観光,1353,2049,2356,2091,32
25 滋賀県,その他,2114,3591,3821,3328,61
25 滋賀県,イベント,833,962,1392,721,26
26 京都府,自然,167,167,167,167,14
26 京都府,歴史・文化,15712,15712,15712,15712,76
26 京都府,温泉・健康,683,683,683,683,18
26 京都府,スポーツ・レク,2276,2275,2275,2275,74
26 京都府,都市型観光,253,252,252,252,7
26 京都府,その他,1202,1202,1202,1202,19
26 京都府,イベント,706,705,705,705,15
29 奈良県,自然,392,1036,880,835,25
29 奈良県,歴史・文化,6805,7959,5208,6297,95
29 奈良県,温泉・健康,387,430,547,377,27
29 奈良県,スポーツ・レク,259,607,510,314,23
29 奈良県,都市型観光,37,50,42,45,4
29 奈良県,その他,871,1411,1230,1162,33
29 奈良県,イベント,3397,787,1548,770,15
30 和歌山県,自然,148,239,251,168,19
30 和歌山県,歴史・文化,2742,1561,1557,1575,40
30 和歌山県,温泉・健康,209,238,297,229,12
30 和歌山県,スポーツ・レク,923,1553,2507,1426,32
30 和歌山県,都市型観光,177,216,259,219,6
30 和歌山県,その他,239,307,324,315,10
