都道府県,目的,地点数,客数
北海道,自然,99.0,1193.0
北海道,歴史・文化,152.0,3344.0
北海道,温泉・健康,139.0,3510.0
北海道,スポーツ・レク,261.0,4452.0
北海道,都市型観光,71.0,4055.0
北海道,イベント,38.0,7138.0
青森県,自然,47.0,116.0
青森県,歴史・文化,59.0,470.0
青森県,温泉・健康,44.0,753.0
青森県,スポーツ・レク,72.0,672.0
青森県,都市型観光,52.0,2110.0
青森県,イベント,8.0,722.0
岩手県,自然,33.0,604.0
岩手県,歴史・文化,57.0,575.0
岩手県,温泉・健康,74.0,1294.0
岩手県,スポーツ・レク,54.0,880.0
岩手県,都市型観光,21.0,471.0
岩手県,イベント,12.0,799.0
宮城県,自然,31.0,586.0
宮城県,歴史・文化,79.0,3128.0
宮城県,温泉・健康,35.0,1176.0
宮城県,スポーツ・レク,57.0,846.0
宮城県,都市型観光,44.0,1372.0
宮城県,イベント,17.0,630.0
秋田県,自然,30.0,123.0
秋田県,歴史・文化,48.0,236.0
秋田県,温泉・健康,67.0,1062.0
秋田県,スポーツ・レク,67.0,728.0
秋田県,都市型観光,20.0,153.0
秋田県,イベント,17.0,938.0
山形県,自然,35.0,236.0
山形県,歴史・文化,72.0,1165.0
山形県,温泉・健康,45.0,2027.0
山形県,スポーツ・レク,62.0,871.0
山形県,都市型観光,22.0,481.0
山形県,イベント,16.0,882.0
福島県,自然,49.0,310.0
福島県,歴史・文化,78.0,1536.0
福島県,温泉・健康,49.0,1467.0
福島県,スポーツ・レク,76.0,2257.0
福島県,都市型観光,17.0,682.0
福島県,イベント,13.0,653.0
茨城県,自然,15.0,1186.0
茨城県,歴史・文化,51.0,2357.0
茨城県,温泉・健康,13.0,388.0
茨城県,スポーツ・レク,52.0,1667.0
茨城県,都市型観光,11.0,1693.0
茨城県,イベント,20.0,2434.0
栃木県,自然,38.0,1096.0
栃木県,歴史・文化,85.0,3593.0
栃木県,温泉・健康,28.0,1279.0
栃木県,スポーツ・レク,122.0,2342.0
栃木県,都市型観光,14.0,2537.0
栃木県,イベント,14.0,467.0
群馬県,自然,46.0,740.0
群馬県,歴史・文化,78.0,2209.0
群馬県,温泉・健康,71.0,3476.0
群馬県,スポーツ・レク,94.0,2732.0
群馬県,都市型観光,25.0,1011.0
群馬県,イベント,26.0,831.0
埼玉県,自然,41.0,791.0
埼玉県,歴史・文化,142.0,5214.0
埼玉県,温泉・健康,30.0,1220.0
埼玉県,スポーツ・レク,160.0,2163.0
埼玉県,都市型観光,41.0,14146.0
埼玉県,イベント,73.0,6617.0
千葉県,自然,34.0,1244.0
千葉県,歴史・文化,139.0,10251.0
千葉県,温泉・健康,25.0,1155.0
千葉県,スポーツ・レク,296.0,13675.0
千葉県,都市型観光,24.0,4680.0
千葉県,イベント,51.0,4359.0
東京都,自然,6.0,400.0
東京都,歴史・文化,326.0,13491.0
東京都,温泉・健康,35.0,7342.0
東京都,スポーツ・レク,167.0,30399.0
東京都,都市型観光,86.0,183872.0
東京都,イベント,98.0,10540.0
神奈川県,自然,62.0,5034.0
神奈川県,歴史・文化,111.0,20707.0
神奈川県,温泉・健康,8.0,191.0
神奈川県,スポーツ・レク,81.0,6122.0
神奈川県,都市型観光,7.0,895.0
神奈川県,イベント,44.0,2835.0
新潟県,自然,76.0,427.0
新潟県,歴史・文化,155.0,1763.0
新潟県,温泉・健康,106.0,2341.0
新潟県,スポーツ・レク,252.0,4763.0
新潟県,都市型観光,62.0,2126.0
新潟県,イベント,59.0,2021.0
富山県,自然,24.0,222.0
富山県,歴史・文化,71.0,797.0
富山県,温泉・健康,19.0,623.0
富山県,スポーツ・レク,48.0,780.0
富山県,都市型観光,5.0,229.0
