都道府県,種類,1,2,3,4
01 北海道,①,1278,1742,2776,1228
01 北海道,②,59254,50985,54323,50753
02 青森県,①,507,845,846,710
02 青森県,②,64658,50205,56846,52178
03 岩手県,①,707,880,1007,662
03 岩手県,②,43149,50205,51499,52178
04 宮城県,①,1394,1597,1312,1513
04 宮城県,②,48631,50205,52257,52178
05 秋田県,②,49882,50205,51499,52178
05 秋田県,①,314,481,514,424
06 山形県,①,602,741,1066,637
06 山形県,②,49882,50205,51499,52178
07 福島県,①,1181,1369,1271,1357
07 福島県,②,49882,50205,51499,52178
08 茨城県,①,1436,1425,1523,1145
08 茨城県,②,49477,50985,49903,49050
09 栃木県,①,1038,1200,1238,1333
09 栃木県,②,54178,54043,52834,51189
10 群馬県,①,978,1032,1182,1278
10 群馬県,②,54178,54043,52834,51189
11 埼玉県,②,54178,54043,52834,51189
11 埼玉県,①,1496,1504,1536,1659
12 千葉県,①,3185,2549,2993,2658
12 千葉県,②,54178,54043,52834,51189
13 東京都,①,11681,12517,13717,11320
13 東京都,②,110105,105381,113814,99697
14 神奈川県,①,2853,3269,3070,3300
14 神奈川県,②,47624,54043,52834,51189
15 新潟県,①,1332,1095,2069,1030
15 新潟県,②,52254,32110,50725,50753
16 富山県,②,47589,34542,39035,57987
16 富山県,①,517,677,732,466
19 山梨県,①,644,624,740,746
19 山梨県,②,54178,54043,52834,51189
20 長野県,①,798,1715,1974,1195
20 長野県,②,52398,51178,50725,51440
21 岐阜県,①,838,649,814,673
21 岐阜県,②,45616,45393,43186,42041
22 静岡県,①,3468,2477,2791,2621
22 静岡県,②,40462,45393,43186,42041
23 愛知県,②,27050,39233,25324,25875
23 愛知県,①,3584,3061,2656,3432
24 三重県,②,28398,28757,26409,27650
24 三重県,①,1210,944,1306,1276
25 滋賀県,①,620,877,916,719
25 滋賀県,②,49532,38627,44324,46404
26 京都府,①,1369,1321,1439,1160
26 京都府,②,49532,45926,44324,46404
28 兵庫県,①,1523,1440,1639,1435
28 兵庫県,②,49532,45926,44324,46404
29 奈良県,①,193,202,216,212
29 奈良県,②,47939,44199,46415,48116
30 和歌山県,①,565,403,272,482
30 和歌山県,②,38617,28173,13623,12362
31 鳥取県,②,52254,50985,49903,43365
31 鳥取県,①,297,404,378,304
32 島根県,①,376,455,504,410
32 島根県,②,52888,50985,49903,66892
33 岡山県,①,781,869,927,658
33 岡山県,②,52888,50985,49903,66892
34 広島県,①,1464,1248,1526,1308
34 広島県,②,46501,50985,49903,49277
35 山口県,①,443,472,500,483
35 山口県,②,52888,50985,49903,59451
36 徳島県,②,46740,50985,49903,50753
36 徳島県,①,329,268,241,240
37 香川県,①,588,775,938,744
37 香川県,②,52254,50985,49903,50753
38 愛媛県,①,385,365,402,395
38 愛媛県,②,52254,50985,49903,49903
39 高知県,①,413,480,316,383
39 高知県,②,46740,50985,49903,50753
40 福岡県,①,1932,1727,2362,2469
40 福岡県,②,55398,52081,48350,64553
41 佐賀県,②,55398,64553,48350,52027
41 佐賀県,①,512,621,647,533
42 長崎県,①,689,696,818,707
42 長崎県,②,55396,52078,62903,52025
43 熊本県,①,960,1121,1062,980
43 熊本県,②,58053,52081,48350,52027
44 大分県,①,475,594,720,493
44 大分県,②,55398,52081,50868,52027
45 宮崎県,①,670,631,681,714
45 宮崎県,②,55398,64179,50226,55479
46 鹿児島県,①,933,884,992,982
46 鹿児島県,②,56276,52081,42611,57244
