都道府県,種類,1,2,3,4
01 北海道,①,7834,13010,17598,7110
01 北海道,②,124397,113660,141155,117015
02 青森県,①,2247,3206,4205,2084
02 青森県,②,48180,68962,60365,64023
03 岩手県,①,1869,2054,2616,1767
03 岩手県,②,48662,67668,56379,66512
04 宮城県,①,3556,5294,6624,6011
04 宮城県,②,52369,51900,46633,54672
05 秋田県,②,74317,76936,61436,84496
05 秋田県,①,1451,2690,3337,2292
06 山形県,①,2908,4614,5296,3710
06 山形県,②,44753,66156,55635,55965
07 福島県,①,2992,3223,5031,3958
07 福島県,②,71764,62771,64507,65035
08 茨城県,①,6497,9697,8375,8254
08 茨城県,②,40390,47234,40938,46263
09 栃木県,①,8719,12641,10659,10116
09 栃木県,②,47098,55473,53602,64623
10 群馬県,①,4683,8242,7294,6662
10 群馬県,②,42456,43308,45813,48999
11 埼玉県,②,35505,38692,27888,30034
11 埼玉県,①,22903,27464,27636,24869
12 千葉県,①,17278,21938,21476,16482
12 千葉県,②,79417,61662,73450,64818
13 東京都,①,117876,113289,120308,115732
13 東京都,②,83508,90051,90451,92703
14 神奈川県,①,31663,26247,18310,20886
14 神奈川県,②,52347,56705,61183,51367
15 新潟県,①,10221,6946,7918,6068
15 新潟県,②,56316,31409,90590,74671
16 富山県,②,41468,43772,55358,69199
16 富山県,①,2185,1849,4999,3630
19 山梨県,①,5343,6674,8157,6410
19 山梨県,②,42657,38919,44269,41184
20 長野県,①,7551,10495,11566,7870
20 長野県,②,72921,75822,73990,62834
21 岐阜県,①,7387,10214,11978,10222
21 岐阜県,②,69462,62490,62294,69210
22 静岡県,①,13500,17488,16866,15960
22 静岡県,②,47023,49620,65763,53143
23 愛知県,②,28536,59931,58667,55220
23 愛知県,①,21350,20602,24473,22252
24 三重県,②,57376,53065,54507,68209
24 三重県,①,8054,7567,7349,7442
25 滋賀県,①,4604,4946,5938,4452
25 滋賀県,②,29158,30848,29820,34690
26 京都府,①,14339,14493,14026,17100
26 京都府,②,63273,63826,102276,88368
28 兵庫県,①,16230,16563,21782,14877
28 兵庫県,②,79052,89208,88811,91247
29 奈良県,①,5054,5515,4809,5456
29 奈良県,②,41954,62732,53008,60251
30 和歌山県,①,2190,1967,3639,2363
30 和歌山県,②,72220,57740,56895,23268
31 鳥取県,②,33714,28003,30938,33669
31 鳥取県,①,1407,2298,2480,1409
32 島根県,①,2365,2504,2607,2417
32 島根県,②,46898,53308,42632,52844
33 岡山県,①,2309,2901,3079,2831
33 岡山県,②,50148,50699,53471,51489
34 広島県,①,3680,4563,4604,4249
34 広島県,②,47370,45685,84725,46036
35 山口県,①,3255,3845,4653,4339
35 山口県,②,61617,38562,62899,47013
36 徳島県,②,42452,42688,30353,29303
36 徳島県,①,1567,1817,1984,1726
37 香川県,①,4245,2975,3174,3113
37 香川県,②,40166,55002,51273,64620
38 愛媛県,①,2825,3559,3813,3150
38 愛媛県,②,47780,47205,47920,48580
39 高知県,①,1094,1418,1251,1212
39 高知県,②,63795,54172,63098,62731
40 福岡県,①,26534,21045,22525,22984
40 福岡県,②,83894,69321,87808,72801
41 佐賀県,②,61626,66646,69196,65412
41 佐賀県,①,4832,4153,4432,4147
42 長崎県,①,3110,2188,3184,2688
42 長崎県,②,83171,65648,61277,100366
43 熊本県,①,5005,6537,6930,5797
43 熊本県,②,77684,74959,82964,86160
44 大分県,①,4701,4302,5336,5386
44 大分県,②,53556,54507,57385,54253
45 宮崎県,①,3494,2619,3652,3295
45 宮崎県,②,52343,52173,45206,53424
46 鹿児島県,①,3343,3373,4176,3666
46 鹿児島県,②,73103,83085,67769,83383
