都道府県,観光地・イベント入込客数,1,2,3,4
01 北海道,自然,1323,3932,6834,3059
01 北海道,歴史・文化,3931,7159,9706,4965
01 北海道,温泉・健康,3052,3770,5012,3814
01 北海道,スポーツ・レク,5384,4949,7618,3350
01 北海道,都市型観光,4143,6351,7557,5396
01 北海道,その他,3171,6637,9526,4606
01 北海道,イベント,7308,5433,10939,5760
02 青森県,自然,134,903,1788,630
02 青森県,歴史・文化,448,1916,2015,958
02 青森県,温泉・健康,767,773,910,820
02 青森県,スポーツ・レク,671,1271,1681,623
02 青森県,都市型観光,2376,3598,4526,3372
02 青森県,その他,632,1280,1566,1104
02 青森県,イベント,850,4055,9389,1247
03 岩手県,自然,911,1406,1922,969
03 岩手県,歴史・文化,598,890,1079,699
03 岩手県,温泉・健康,1248,1264,1481,1398
03 岩手県,スポーツ・レク,876,638,741,451
03 岩手県,都市型観光,532,870,1075,764
03 岩手県,その他,423,810,1012,566
03 岩手県,イベント,786,1502,3010,1017
04 宮城県,自然,575,991,1378,1108
04 宮城県,歴史・文化,3211,2397,2724,2297
04 宮城県,温泉・健康,1311,1363,1485,1650
04 宮城県,スポーツ・レク,883,1994,2204,1389
04 宮城県,都市型観光,1637,2000,2112,1913
04 宮城県,その他,1485,2129,2234,2038
04 宮城県,イベント,645,2841,5318,5054
05 秋田県,自然,139,1143,1701,1012
05 秋田県,歴史・文化,244,930,1000,563
05 秋田県,温泉・健康,1003,1106,1228,1154
05 秋田県,スポーツ・レク,731,976,1393,649
05 秋田県,都市型観光,169,345,397,321
05 秋田県,その他,668,1586,1846,1337
05 秋田県,イベント,1033,2748,5186,1329
07 福島県,自然,430,1772,1663,1945
07 福島県,歴史・文化,1690,3327,2608,2206
07 福島県,温泉・健康,1626,1516,1631,1617
07 福島県,スポーツ・レク,3015,2325,3111,1699
07 福島県,都市型観光,1059,969,1625,1237
07 福島県,その他,1627,2564,2651,2038
07 福島県,イベント,913,521,3523,895
08 茨城県,自然,1130,2222,1610,2150
08 茨城県,歴史・文化,2528,3310,2529,3243
08 茨城県,温泉・健康,412,371,412,349
08 茨城県,スポーツ・レク,1836,2493,2878,2408
08 茨城県,都市型観光,1798,2092,1865,1972
08 茨城県,その他,1535,1756,1887,1937
08 茨城県,イベント,2868,1737,5342,2372
09 栃木県,自然,1121,2009,2037,2340
09 栃木県,歴史・文化,4025,4558,4156,5036
09 栃木県,温泉・健康,1398,1120,1331,1239
09 栃木県,スポーツ・レク,2424,3468,3820,3157
09 栃木県,都市型観光,2697,2981,2794,2633
09 栃木県,その他,3913,4790,4705,4607
09 栃木県,イベント,645,1752,3028,1712
10 群馬県,自然,780,2302,2774,2028
10 群馬県,歴史・文化,2346,3041,2685,2645
10 群馬県,温泉・健康,3780,3032,3724,3535
10 群馬県,スポーツ・レク,3109,3278,2636,2613
10 群馬県,都市型観光,1066,1326,1358,1287
10 群馬県,その他,796,1525,1892,1725
10 群馬県,イベント,1145,1618,5144,2616
11 埼玉県,自然,853,3252,2269,1492
11 埼玉県,歴史・文化,4876,4578,3938,4786
11 埼玉県,温泉・健康,1542,1394,1501,1451
11 埼玉県,スポーツ・レク,2830,4017,5353,3654
11 埼玉県,都市型観光,15682,16096,16326,15423
11 埼玉県,その他,1203,1342,1249,1333
11 埼玉県,イベント,7446,6973,12230,10780
12 千葉県,自然,1408,933,518,260
12 千葉県,歴史・文化,10475,5419,4964,5172
12 千葉県,温泉・健康,1199,1112,1327,1102
12 千葉県,スポーツ・レク,15238,15956,18670,17436
12 千葉県,都市型観光,5104,5861,6331,5544
12 千葉県,その他,5712,6127,6180,5811
12 千葉県,イベント,4650,4553,11079,5564
13 東京都,自然,435,598,643,1025
13 東京都,歴史・文化,14787,20087,19213,17333
13 東京都,温泉・健康,7740,5257,6684,7510
13 東京都,スポーツ・レク,34947,34790,32244,29422
13 東京都,都市型観光,194958,214513,204216,212392
13 東京都,その他,3699,9754,4659,3795
13 東京都,イベント,8768,11343,18013,18951
14 神奈川県,自然,5358,6334,7928,7006
14 神奈川県,歴史・文化,22044,12437,10177,8884
14 神奈川県,温泉・健康,231,257,340,231
14 神奈川県,スポーツ・レク,7473,10888,11077,8193
14 神奈川県,都市型観光,906,939,977,987
14 神奈川県,その他,5364,6927,7373,8639
14 神奈川県,イベント,3890,9399,10250,4176
15 新潟県,自然,419,1263,1609,1317
15 新潟県,歴史・文化,1730,2578,3093,2451
15 新潟県,温泉・健康,2348,2065,2611,2321
15 新潟県,スポーツ・レク,5002,2273,4739,2008
15 新潟県,都市型観光,2373,4550,5239,4651
15 新潟県,その他,608,1035,1199,888
15 新潟県,イベント,2512,5193,8397,2975
16 富山県,自然,232,970,1273,585
16 富山県,歴史・文化,838,1612,1739,1678
16 富山県,温泉・健康,611,681,771,745
16 富山県,スポーツ・レク,994,1929,2480,1418
16 富山県,都市型観光,251,241,1913,1943
16 富山県,その他,942,1508,1621,1445
16 富山県,イベント,585,1823,1875,744
19 山梨県,自然,788,2799,3071,2026
19 山梨県,歴史・文化,1810,2116,3059,2085
19 山梨県,温泉・健康,1258,1366,1766,1345
19 山梨県,スポーツ・レク,1635,2617,3115,2177
19 山梨県,都市型観光,701,1167,1477,1093
19 山梨県,その他,769,1546,2053,1435
19 山梨県,イベント,325,882,1503,846
20 長野県,自然,1076,1949,4891,1621
20 長野県,歴史・文化,2366,11081,5362,4190
20 長野県,温泉・健康,3166,3005,4168,3529
20 長野県,スポーツ・レク,4939,1323,2584,1858
20 長野県,都市型観光,1810,2799,4017,2674
20 長野県,その他,618,1130,1524,1212
20 長野県,イベント,1179,2286,3076,1636
21 岐阜県,自然,299,820,1140,677
21 岐阜県,歴史・文化,4453,4175,3880,4449
21 岐阜県,温泉・健康,2345,2121,2443,2188
21 岐阜県,スポーツ・レク,3360,3823,3598,3422
21 岐阜県,都市型観光,2465,2840,3085,2891
21 岐阜県,その他,2877,4450,5194,4400
21 岐阜県,イベント,529,2635,3442,3066
22 静岡県,自然,3179,3648,4167,3406
22 静岡県,歴史・文化,6352,5340,4864,4228
22 静岡県,温泉・健康,1119,1069,1292,1029
22 静岡県,スポーツ・レク,4204,6162,8150,4999
22 静岡県,都市型観光,4781,5095,5378,5036
22 静岡県,その他,2702,2881,3728,2737
22 静岡県,イベント,4390,6464,7633,5200
23 愛知県,自然,1209,1971,2177,2195
23 愛知県,歴史・文化,12569,8430,7446,7840
23 愛知県,温泉・健康,790,727,771,806
23 愛知県,スポーツ・レク,4898,7999,8163,7030
23 愛知県,都市型観光,5085,6938,7678,6911
23 愛知県,その他,881,1491,1210,1217
23 愛知県,イベント,5461,7497,12503,7873
24 三重県,自然,271,721,835,550
24 三重県,歴史・文化,7032,3745,3676,3880
24 三重県,温泉・健康,1574,1431,1790,1633
24 三重県,スポーツ・レク,7386,7254,10029,7514
24 三重県,都市型観光,835,883,856,1023
24 三重県,その他,1338,1312,2029,1777
24 三重県,イベント,312,620,2008,1331
25 滋賀県,自然,84,337,358,224
25 滋賀県,歴史・文化,3236,2685,2491,2725
25 滋賀県,温泉・健康,402,385,411,361
25 滋賀県,スポーツ・レク,1796,2566,2923,2182
25 滋賀県,都市型観光,695,999,1243,999
25 滋賀県,その他,1840,2869,2872,2774
25 滋賀県,イベント,443,747,1461,684
26 京都府,自然,152,486,288,335
26 京都府,歴史・文化,15660,17682,15046,16718
26 京都府,温泉・健康,498,453,542,561
26 京都府,スポーツ・レク,999,2278,2728,2132
26 京都府,都市型観光,201,324,412,359
26 京都府,その他,360,624,595,574
26 京都府,イベント,40,311,527,660
28 兵庫県,自然,453,704,1037,697
28 兵庫県,歴史・文化,11644,8232,7720,6228
28 兵庫県,温泉・健康,2135,1770,225,2032
28 兵庫県,スポーツ・レク,7058,9748,11168,8112
28 兵庫県,都市型観光,4453,7823,10378,5045
28 兵庫県,その他,2776,3322,3719,3713
28 兵庫県,イベント,5322,5805,5371,8912
29 奈良県,自然,313,890,772,886
29 奈良県,歴史・文化,6139,7549,4887,6255
29 奈良県,温泉・健康,382,404,526,384
29 奈良県,スポーツ・レク,210,561,466,303
29 奈良県,都市型観光,34,46,42,53
29 奈良県,その他,733,1111,1021,1055
29 奈良県,イベント,3229,835,1486,888
30 和歌山県,自然,428,47,689,388
30 和歌山県,歴史・文化,1329,513,506,603
30 和歌山県,温泉・健康,474,172,243,221
30 和歌山県,スポーツ・レク,1566,1180,2129,1743
30 和歌山県,都市型観光,39,10,13,11
30 和歌山県,その他,255,787,579,499
30 和歌山県,イベント,358,952,1366,217
31 鳥取県,自然,232,417,563,413
31 鳥取県,歴史・文化,477,758,1028,906
31 鳥取県,温泉・健康,535,480,604,604
31 鳥取県,スポーツ・レク,355,261,430,178
31 鳥取県,都市型観光,1210,1661,1965,1571
31 鳥取県,その他,884,1273,1706,1454
31 鳥取県,イベント,114,143,789,223
32 島根県,自然,320,713,807,616
32 島根県,歴史・文化,3509,3399,4019,3695
32 島根県,温泉・健康,598,632,657,677
32 島根県,スポーツ・レク,488,506,630,298
32 島根県,都市型観光,432,542,536,548
32 島根県,その他,549,782,874,800
32 島根県,イベント,250,312,990,381
33 岡山県,自然,76,147,232,137
33 岡山県,歴史・文化,1129,1464,1511,1464
33 岡山県,温泉・健康,561,545,718,569
33 岡山県,スポーツ・レク,1152,1783,1803,1368
33 岡山県,都市型観光,961,1231,1525,1375
33 岡山県,その他,839,1057,1297,1119
33 岡山県,イベント,873,1311,2341,2405
34 広島県,自然,250,487,674,631
34 広島県,歴史・文化,2785,3356,3704,3344
34 広島県,温泉・健康,652,645,706,673
34 広島県,スポーツ・レク,1980,2107,2533,2329
34 広島県,都市型観光,885,1089,1137,1058
34 広島県,その他,1119,1733,1649,1528
34 広島県,イベント,1755,5624,4291,3605
35 山口県,自然,546,659,1004,727
35 山口県,歴史・文化,2041,2023,2097,2122
35 山口県,温泉・健康,895,861,983,944
35 山口県,スポーツ・レク,1189,1634,2164,1471
35 山口県,都市型観光,531,534,573,560
35 山口県,その他,1707,2144,2310,2068
35 山口県,イベント,808,997,2092,1356
36 徳島県,自然,210,508,597,376
36 徳島県,歴史・文化,1522,1217,1101,1046
36 徳島県,温泉・健康,320,292,301,301
36 徳島県,スポーツ・レク,502,813,898,704
36 徳島県,都市型観光,870,1036,1088,1000
36 徳島県,その他,196,268,267,235
36 徳島県,イベント,485,726,2242,781
37 香川県,自然,240,369,362,366
37 香川県,歴史・文化,2691,2444,1661,1742
37 香川県,温泉・健康,521,488,555,488
37 香川県,スポーツ・レク,1133,1978,2186,1712
37 香川県,都市型観光,719,843,958,891
37 香川県,その他,975,1181,1385,1067
37 香川県,イベント,179,417,1304,331
38 愛媛県,自然,287,712,698,454
38 愛媛県,歴史・文化,1209,1647,1559,1418
38 愛媛県,温泉・健康,826,718,827,766
38 愛媛県,スポーツ・レク,537,727,936,557
38 愛媛県,都市型観光,229,291,345,300
38 愛媛県,その他,1703,2055,2173,1979
38 愛媛県,イベント,54,387,2138,632
39 高知県,自然,149,275,325,205
39 高知県,歴史・文化,596,598,723,547
39 高知県,温泉・健康,214,218,235,211
39 高知県,スポーツ・レク,324,419,431,356
39 高知県,都市型観光,1288,1446,1544,1420
39 高知県,その他,698,852,916,759
39 高知県,イベント,144,376,1670,276
40 福岡県,自然,551,927,1028,728
40 福岡県,歴史・文化,10241,6016,5965,5734
40 福岡県,温泉・健康,950,845,842,893
40 福岡県,スポーツ・レク,1959,2826,3560,2436
40 福岡県,都市型観光,22852,21925,24057,23692
40 福岡県,その他,2572,2849,3033,2765
40 福岡県,イベント,1926,2062,3612,2332
41 佐賀県,自然,125,236,226,140
41 佐賀県,歴史・文化,2386,1162,972,1260
41 佐賀県,温泉・健康,554,486,534,515
41 佐賀県,スポーツ・レク,332,441,473,484
41 佐賀県,都市型観光,2458,2595,2927,2881
41 佐賀県,その他,256,271,262,300
41 佐賀県,イベント,459,1524,1157,2663
42 長崎県,自然,184,266,321,337
42 長崎県,歴史・文化,1500,2072,2136,2083
42 長崎県,温泉・健康,563,529,589,554
42 長崎県,スポーツ・レク,1556,1878,2064,1800
42 長崎県,都市型観光,3127,2913,3354,3099
42 長崎県,その他,671,1036,1094,1085
42 長崎県,イベント,1683,1396,1453,884
43 熊本県,自然,377,818,1083,640
43 熊本県,歴史・文化,2820,2263,2241,2307
43 熊本県,温泉・健康,2506,2244,2477,2338
43 熊本県,スポーツ・レク,1046,1429,1855,1343
43 熊本県,都市型観光,2691,3153,3147,3117
43 熊本県,その他,1770,2452,2453,2227
43 熊本県,イベント,1167,1030,1910,1337
44 大分県,自然,366,719,1500,967
44 大分県,歴史・文化,3208,2326,2943,2963
44 大分県,温泉・健康,2309,2472,3002,2174
44 大分県,スポーツ・レク,1452,1817,2330,1768
44 大分県,都市型観光,225,300,311,291
44 大分県,その他,1725,2016,2141,2166
44 大分県,イベント,511,834,1276,1244
45 宮崎県,自然,396,485,458,632
45 宮崎県,歴史・文化,2825,1661,1702,1422
45 宮崎県,温泉・健康,858,652,687,688
45 宮崎県,スポーツ・レク,1205,1278,1766,1286
45 宮崎県,都市型観光,256,274,315,297
45 宮崎県,その他,1021,1265,1156,1090
45 宮崎県,イベント,1036,714,1470,1128
46 鹿児島県,自然,351,454,408,522
46 鹿児島県,歴史・文化,2458,1609,1864,1706
46 鹿児島県,温泉・健康,893,740,701,769
46 鹿児島県,スポーツ・レク,1937,2442,2469,2161
46 鹿児島県,都市型観光,1044,1202,1232,1166
46 鹿児島県,その他,528,674,668,640
46 鹿児島県,イベント,1531,691,1301,1199
